No	BildNr	Risk	Trust	Health	Attractiveness	 CUE1_Appearance1_Ungroomed (vs. groomed) appearance_Abstract_2	 CUE2_Appearance2_Lot of (vs. no) body adornment_Abstract_0	 CUE3_Appearance3_Unshaved (vs. shaved)_Abstract_0	 CUE4_Appearance4_Worn out (vs. intact) clothes_Abstract_1	 CUE5_Appearance5_Provocative (vs. reserved) clothes_Abstract_1	 CUE6_Appearance6_Unconventional (vs. conventional) appearance_Abstract_1	 CUE7_Appearance7_Fashionable (vs. unfashionable) appearance_Abstract_1	 CUE8_Appearance8_Dark (vs. bright) clothes_Abstract_0	 CUE9_Appearance9_Clean (vs. dirty) clothes_Abstract_1	 CUE10_Body1_Tense (vs. relaxed) posture_Abstract_1	 CUE11_Body2_Musculous (vs. not musculous) stature_Abstract_1	 CUE12_Body3_Overweight (vs. underweight)_Abstract_0	 CUE13_Body4_Well (vs. badly) proportioned Stature_Abstract_1	 CUE14_Body5_Tall (vs.low) height_Abstract_0	 CUE15_Eyes1_Dark (vs. no dark) rings under eyes_Abstract_0	 CUE16_Eyes2_Reddened (vs. non-reddened) eyes_Abstract_0	 CUE17_Eyes3_Dark (vs. bright) eyes_Abstract_0	 CUE18_Face1_Happy (vs. sad) expression_Abstract_1	 CUE19_Face2_Babyish (vs. mature) Face_Abstract_1	 CUE20_Face3_Feminine (vs. masculine) face_Abstract_1	 CUE21_Face4_Exhausted (vs. powerful) expression_Abstract_1	 CUE22_Face5_Round (vs. narrow) face_Abstract_0	 CUE23_Face6_Worn (vs. fresh) face_Abstract_1	 CUE24_Face7_Worried (vs. unworried) expression_Abstract_1	 CUE25_Face8_Ugly (vs. beautiful) face_Abstract_1	 CUE26_Face9_Red (vs. pale) cheeks_Abstract_0	 CUE27_Face10_Narrow (vs. full) jaws_Abstract_0	 CUE28_Face11_Serious (vs. blithely) expression_Abstract_1	 CUE29_Face12_Average (vs. unusual) face_Abstract_1	 CUE30_Face13_Angry (vs. cheerful) expression_Abstract_1	 CUE31_Face14_Reddened (vs. non-reddened) face_Abstract_0	 CUE32_Face15_Friendly (vs. grumpy) expression_Abstract_1	 CUE33_Face16_Symmetric (vs. unsymmetric) face_Abstract_0	 CUE34_Face17_Strong (vs. no) growth of beard_Abstract_0	 CUE35_GenImp1_Self confident (vs. not)_Abstract_2	 CUE36_GenImp2_Cautious (vs. risk-seeking)_Abstract_2	 CUE37_GenImp3_Uneducated (vs. educated)_Abstract_2	 CUE38_GenImp4_Southern (vs. nordic) type_Abstract_1	 CUE39_GenImp5_Sporty (vs. unsporty)_Abstract_2	 CUE40_GenImp6_Scruffy (vs. kempt)_Abstract_2	 CUE41_GenImp7_Likeable (vs. unsympathetic)_Abstract_2	 CUE42_GenImp8_Attractive (vs. unattractive)_Abstract_2	 CUE43_GenImp9_Irresponsible (vs. responsible)_Abstract_2	 CUE44_GenImp10_Homosexual (vs. heterosexual)_Abstract_2	 CUE45_GenImp11_Popular (vs. unpopular)_Abstract_2	 CUE46_GenImp12_Selfish (vs. unselfish)_Abstract_2	 CUE47_GenImp13_Ill-looking (vs. healthy-looking)_Abstract_2	 CUE48_Hair1_Ungroomed (vs. groomed) hair_Abstract_1	 CUE49_Hair2_Long (vs. short) hair_Abstract_0	 CUE50_Hair3_Fashionable (vs. unfashionable) hairstyle_Abstract_1	 CUE51_Hair4_Dark (vs. bright) hair_Abstract_0	 CUE52_Mouth1_Smile (vs. non smile)_Abstract_0	 CUE53_Mouth2_Yellow (vs. white) teeth_Abstract_0	 CUE54_Mouth3_Full (vs. narrow) lips_Abstract_0	 CUE55_Set1_Pallid (vs. colorful) background_Abstract_0	 CUE56_Set2_Unorganized (vs. organized) background_Abstract_1	 CUE57_Set3_Alcohol (vs. no alcohol) visible_Abstract_0	 CUE58_Set4_Picture taken inside (vs. outside)_Abstract_0	 CUE59_Set5_Picture taken in nature (vs. civilization)_Abstract_0	 CUE60_Set6_Cigarettes (vs. no cigarettes) visible_Abstract_0	 CUE61_Set7_Food (vs. no food) visible_Abstract_0	 CUE62_Set8_Dark (vs. well-lit) background_Abstract_0	 CUE63_Set9_During sports activities (vs. not)_Abstract_0	 CUE64_Skin1_Unhealthy (vs. healthy) skin_Abstract_1	 CUE65_Skin2_Pale (vs. tanned) skin_Abstract_0	 CUE66_Skin3_Pimply (vs. pimple-free) skin_Abstract_0	 CUE67_Skin4_Many (vs. few) skin folds_Abstract_0	 CUE68_Skin5_Spotty (vs. spot-free) skin_Abstract_0	 CUE69_Skin6_Greasy (vs. dry) skin_Abstract_0	 CUE70_Skin7_Lots of (vs. no) skin visible_Abstract_0	 CUE71_View1_Coquettish (vs. no coquettish) gaze_Abstract_1	 CUE72_View2_Averted (vs. front-facing) gaze_Abstract_0	 CUE73_View3_Tired (vs. alert) gaze_Abstract_1
1	1	3.45	4.35	3.925	3.3	3	1.875	2.5	2.25	2	2.5	2.625	5.75	4.875	4.5	6.5	2.75	4	3	3.875	3.375	6.625	3.875	5.375	5.375	5.125	2.5	4.125	5.25	4.125	4	5	5.25	5.625	4.25	5.75	4	5.875	2.375	3.25	6.25	2.875	3.625	5	3.25	4.125	3.125	2.25	0	2.75	2.5	3.75	3.5	2.375	2.8571	6.5	1.75	4	4.625	6.375	3.5	0	7	0.625	7	7	3.875	3.25	3.625	5.125	2.75	1.875	2	3.5	5.75	1.75	5.875	4.625
2	2	3.05	4.325	4.3	2.55	3.875	1.75	1.25	2.5	2.875	2.875	3.625	2.75	5.875	3.875	4.625	4.5	3.25	4.5	3.625	2.875	3	3.375	4.875	3.75	5.75	3.75	4.25	4	5.75	3.75	3.375	4.125	5.125	4.875	6	2.875	3	1.625	1.875	6	4.375	2.25	3.5	3.375	3.875	1.625	4.5	0.125	3.875	4	4	3.25	1.875	2.8571	3.125	2.25	3.5	5.125	3.125	4.125	0	8	0	7	8	3.375	1	4.5	4.875	3	3.25	2.625	5.375	3.5	1	4.875	5.5
3	3	2.675	5.8	5.325	5.25	2.125	2.875	3	2.25	3.875	2.75	4.875	4.5	5.125	2.125	3.75	3.75	5.625	4.5	3.875	2.875	5.125	5.875	4.375	3.25	3.375	4	3	1.875	2.75	3.625	3.875	2.625	5.375	2.75	2.625	6.5	5.5	2.875	5.375	4.25	2.125	5.375	5.125	2	5.375	5.125	2.75	0	5.5	2.5	2.5	2.625	2.625	4.8571	6	4.75	4	3.875	3.25	4.25	0	8	0	7.125	7.375	5	1	2.625	3.625	2.125	2.25	1.75	3.875	4.625	4.875	1.25	3.375
4	4	4.475	3.475	3.475	2.1	2.25	3.625	1.25	2	3.375	3.5	3.625	6.75	5.75	4.5	4.5	5.125	3.375	4.125	3.375	2.75	3.875	5.25	5.5	4.625	3.875	4.25	3.625	3.125	5.125	3.125	2.625	3	4.75	3.5	2.625	5.5	5.375	1.625	4.75	4	4.5	2.5	2.75	2.875	4.25	2.5	4.125	0.5	4.125	4	3.25	3.125	2.125	3.875	2	3.625	4	4.75	3.75	3.875	0	7	0	7	7	3.375	1	3	5.125	2.625	2.25	1.625	4.625	3.75	3.625	2.125	3.875
5	5	5.875	2.2	2.225	1.7	6.5	4.5	6.625	4.5	3.75	5.625	2.125	1.125	3.375	3.25	4.75	3.125	4.375	6	5	4.75	1.25	2.75	4.125	2.875	5.875	2.875	5.5	4	5.5	3.75	5	5	2.75	4.375	4.625	4.125	4.5	5.5	5.125	2.5	4.375	2.25	3	6.625	3.5	1.25	6.75	0	4.25	1.625	4.75	6.5	6.625	3.625	2.2857	2.5	5.25	5.75	6.75	2.75	0	7	0.375	7	7	5.125	1	5.375	4.625	5.125	3.625	4.75	4.5	5.375	1.375	5.75	5
6	6	2.825	5.375	5.875	5.1	1.25	2.75	2.875	2.5	4.5	2.625	5.125	2.375	5	2.25	2.75	3	6.5	5.5	2.375	2	3.75	6.375	4.5	2.875	1.875	2.4286	2.25	1.875	2.5	3.875	4.75	2.5	4.875	1.875	4.25	6.25	4.625	2.75	6.25	3.5	2.625	2	6.25	2.25	5.5	4.875	2	0.25	6.125	3.5	1.875	1.75	2.75	5.5	3	5.625	3.25	3	3.625	3.375	0	7	0.125	7	7	2.25	5.5	2	4.875	2.125	2.75	3.25	3.25	3.375	4.375	6.125	2.625
7	7	3.1	4.075	4.3	2.475	4.25	3	1.75	3.375	3.375	4.875	2.125	2.625	4.375	4	5.125	2.375	3.75	4.25	2.75	2.75	2.25	6.5	4.75	4.5	2.375	2.875	3	1.25	4.75	3.5	4.5	2.125	3.375	2	2.5	5.5	5.25	2.25	5.875	3.875	3.375	2.625	3.5	4.5714	4.75	1.5	5.25	0.5	3	3.375	2.625	4.625	4.375	2.4286	3.25	6	3.125	3.125	4.75	3.625	0	8	0	7	7	3.875	1	4.25	4.125	4.25	2.875	3.75	5.5	5.125	5	1.875	2.375
8	8	4.725	4.05	3.825	4.025	2.375	2.25	3.875	2.75	3.75	4	5.375	4.625	6.25	4.75	5.125	3.5	5	3.75	4.25	3.25	2.875	3.625	4.125	3.625	4.75	3	5.125	4.625	3.75	3.625	4.125	4.875	3.625	3.875	3	3.75	4	3.125	3.75	5.375	2.625	2.875	3.75	3	3.75	4.375	4.125	0.375	3.875	5.25	2.875	2.625	3.125	5.5	4.375	3	3	4.375	4.25	3.25	0	7	0	7	7	1.875	1	2.875	4.25	2.875	3.25	3.625	3.625	5.5	3.25	4.625	4.375
9	9	3.5	3.775	5.5	3	2.25	1.875	2.875	2.25	6.125	3	2	5.25	4	5	2.5	4.5	3	6	2.375	2.6667	4.875	5.25	3.25	2.25	3.25	4.75	7.125	2.875	4.5	3.875	2.75	3.5	5	4.125	5	5	4.25	2.625	4.625	3.625	4.75	3.75	4.375	3.25	3.625	2.25	3.875	0.125	4	5.125	3	3.375	2	3.875	4.75	3.875	3.375	3.375	2	4	0.125	7	0.625	7	7	1.25	4.75	4.125	4.375	2.375	3.125	2.5	4.375	1.625	3.125	3.25	3.25
10	10	3.575	4.525	4.975	4.9	2.75	1.75	4.25	2.125	4.375	3.125	5.75	1.25	6.125	3.25	2.875	3.625	6.125	5.25	5.25	3.25	4.5	5.625	3.625	2.375	3	3.5	3.75	2	2	4.375	3.875	3.25	3.75	3	3.125	5.25	5.375	4	5.75	3.5	3.125	4.375	5.5	2	4.875	5.625	2.875	0	6.25	4.5	1.625	2.125	2.875	5.5	2.75	4.75	3.375	3.25	4.875	4	0	7.25	0	7	7	1.75	2.5	2	3.375	2.25	2.5	2.25	3.375	4.375	4	6.625	3.875
